Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0  3268  48  20   8  -1   817
   1  3269   0   0  -1  -1  3269
   1  3270   0   0  -1  -1  3270
   1  3271   0   0  -1  -1  3271
   0  3272  56  32  24  -1   818
   0  3273 144  60  24  -1  3273
   0  3274  60  36  24  -1  3274
   0  3275  60  36  24  -1   131
   0  3276  24   8   0   3    91
   1  3277   0   0  -1  -1  3277
   1  3278   0   0  -1  -1  3278
   1  3279   0   0  -1  -1  3279
   1  3280   0   0  -1  -1   205
   2  3281 320 160   0   2  3281
   0  3282  80  52  28  -1  3282
   0  3283  12   4   0   3    67
   1  3284   0   0  -1  -1   821
   1  3285   0   0  -1  -1   365
   1  3286   0   0  -1  -1  3286
   1  3287   0   0  -1  -1  3287
   1  3288   0   0  -1  -1   822
   2  3289 192  96   0   2  3289
   2  3290 128  64   0   2  3290
   0  3291 120  64  56  -1  3291
   1  3292   0   0  -1  -1   823
   1  3293   0   0  -1  -1  3293
   1  3294   0   0  -1  -1   366
   1  3295   0   0  -1  -1  3295
   1  3296   0   0  -1  -1   206
   0  3297 160  72  16  -1  3297
   0  3298  32  32   0   1  3298
   0  3299 324 172 152  -1  3299
   0  3300  16  12   4  -1    33
   1  3301   0   0  -1  -1  3301
   1  3302   0   0  -1  -1  3302
   1  3303   0   0  -1  -1   367
   0  3304  24  16   8  -1   826
   0  3305 192 104  88  -1  3305
   0  3306  96  56  40  -1  3306
   0  3307 108  60  48  -1  3307
   0  3308  84  44  40  -1   827
   1  3309   0   0  -1  -1  3309
   1  3310   0   0  -1  -1  3310
   1  3311   0   0  -1  -1  3311
   1  3312   0   0  -1  -1    23
   0  3313  96  56  40  -1  3313
   0  3314 168  96  72  -1  3314
   0  3315  96  64  32  -1  3315
   1  3316   0   0  -1  -1   829
   1  3317   0   0  -1  -1  3317
   1  3318   0   0  -1  -1  3318
   1  3319   0   0  -1  -1  3319
   1  3320   0   0  -1  -1   830
   2  3321  32  16   0   2    41
   0  3322  32  24   8  -1  3322
   0  3323 204  92  20  -1  3323
   1  3324   0   0  -1  -1   831
   1  3325   0   0  -1  -1   133
   1  3326   0   0  -1  -1  3326
   1  3327   0   0  -1  -1  3327
   1  3328   0   0  -1  -1    13
   0  3329 304 140  24  -1  3329
   0  3330  24  16   8  -1   370
   0  3331 180 100  80  -1  3331
   0  3332  16   4   0   4    17
   1  3333   0   0  -1  -1  3333
   1  3334   0   0  -1  -1  3334
   1  3335   0   0  -1  -1  3335
   0  3336  32  12   8  -1   834
   0  3337  96  56  40  -1  3337
   0  3338 100  44  12  -1  3338
   2  3339  96  48   0   2   371
   0  3340  72  40  32  -1   835
   1  3341   0   0  -1  -1  3341
   1  3342   0   0  -1  -1  3342
   1  3343   0   0  -1  -1  3343
   0  3344  80  44  36  -1   209
   0  3345 160 104  56  -1  3345
   0  3346  80  32  16  -1  3346
   0  3347 132  68  64  -1  3347
   1  3348   0   0  -1  -1    93
   1  3349   0   0  -1  -1  3349
   1  3350   0   0  -1  -1   134
   1  3351   0   0  -1  -1  3351
   1  3352   0   0  -1  -1   838
   0  3353 160 104  56  -1  3353
   0  3354  96  40  16  -1  3354
   2  3355  96  48   0   2  3355
   1  3356   0   0  -1  -1   839
   1  3357   0   0  -1  -1   373
   1  3358   0   0  -1  -1  3358
   1  3359   0   0  -1  -1  3359
   2  3360  16   8   0   2   210
   0  3361  96  40  16  -1  3361
   0  3362   2   2   0   1     2
   0  3363 192 120  72  -1  3363
   0  3364   2   2   0   1     1
   1  3365   0   0  -1  -1  3365
   1  3366   0   0  -1  -1   374
   1  3367   0   0  -1  -1  3367
   0  3368  52  20  12  -1   842
   0  3369 112  52   8  -1  3369
   0  3370  72  40  32  -1  3370
   0  3371 252 116  20  -1  3371
   0  3372  72  32   8  -1   843
   1  3373   0   0  -1  -1  3373
   1  3374   0   0  -1  -1  3374
   1  3375   0   0  -1  -1    15
   0  3376  36  20  16  -1   211
   0  3377 272 140 132  -1  3377
   0  3378  48  12   0   4  3378
   2  3379 192  96   0   2  3379
   1  3380   0   0  -1  -1     5
   1  3381   0   0  -1  -1    69
   1  3382   0   0  -1  -1  3382
   1  3383   0   0  -1  -1  3383
   1  3384   0   0  -1  -1    94
   0  3385  96  32   0   3  3385
   0  3386 132  68  64  -1  3386
   0  3387 144  64  16  -1  3387
   1  3388   0   0  -1  -1     7
   1  3389   0   0  -1  -1  3389
   1  3390   0   0  -1  -1  3390
   1  3391   0   0  -1  -1  3391
   1  3392   0   0  -1  -1    53
   0  3393  64  24  16  -1   377
   0  3394 104  44  16  -1  3394
   0  3395 240 128 112  -1  3395
   0  3396 112  68  44  -1   849
   1  3397   0   0  -1  -1  3397
   1  3398   0   0  -1  -1  3398
   1  3399   0   0  -1  -1  3399
   2  3400   8   4   0   2    34
   0  3401 368 180   8  -1  3401
   0  3402   8   0  -1  -1    42
   0  3403  96  64  32  -1  3403
   0  3404 120  56   8  -1   851
   1  3405   0   0  -1  -1  3405
   1  3406   0   0  -1  -1  3406
   1  3407   0   0  -1  -1  3407
   1  3408   0   0  -1  -1   213
   2  3409 192  96   0   2  3409
   0  3410  80  48  32  -1  3410
   0  3411  36  20  16  -1   379
   1  3412   0   0  -1  -1   853
   1  3413   0   0  -1  -1  3413
   1  3414   0   0  -1  -1  3414
   1  3415   0   0  -1  -1  3415
   1  3416   0   0  -1  -1   854
   0  3417  96  56  40  -1  3417
   0  3418  44  28  16  -1  3418
   0  3419 336 176 160  -1  3419
   1  3420   0   0  -1  -1    95
   1  3421   0   0  -1  -1  3421
   1  3422   0   0  -1  -1  3422
   1  3423   0   0  -1  -1  3423
   1  3424   0   0  -1  -1   214
   2  3425  32  16   0   2   137
   0  3426  96  52  44  -1  3426
   0  3427  72  40  32  -1  3427
   0  3428 128  72  56  -1   857
   1  3429   0   0  -1  -1   381
   1  3430   0   0  -1  -1    70
   1  3431   0   0  -1  -1  3431
   0  3432  32   8   0   4   858
   2  3433  96  48   0   2  3433
   2  3434 144  72   0   2  3434
   2  3435 192  96   0   2  3435
   0  3436  84  52  32  -1   859
   1  3437   0   0  -1  -1  3437
   1  3438   0   0  -1  -1   382
   1  3439   0   0  -1  -1  3439
   1  3440   0   0  -1  -1   215
   0  3441 160  72  16  -1  3441
   0  3442  80  28  24  -1  3442
   2  3443 192  96   0   2  3443
   1  3444   0   0  -1  -1   861
   1  3445   0   0  -1  -1  3445
   1  3446   0   0  -1  -1  3446
   1  3447   0   0  -1  -1   383
   1  3448   0   0  -1  -1   862
   0  3449 400 220 180  -1  3449
   2  3450  16   8   0   2   138
   0  3451 144  80  64  -1  3451
   1  3452   0   0  -1  -1   863
   1  3453   0   0  -1  -1  3453
   1  3454   0   0  -1  -1  3454
   1  3455   0   0  -1  -1  3455
   1  3456   0   0  -1  -1     6
   0  3457 112  60  52  -1  3457
   2  3458  80  40   0   2  3458
   0  3459 144  80  64  -1  3459
   0  3460  64  40  24  -1   865
   1  3461   0   0  -1  -1  3461
   1  3462   0   0  -1  -1  3462
   1  3463   0   0  -1  -1  3463
   2  3464  88  44   0   2   866
   0  3465  32  24   8  -1   385
   0  3466  52  28  24  -1  3466
   0  3467 228 100  28  -1  3467
   0  3468   4   4   0   1     3
   1  3469   0   0  -1  -1  3469
   1  3470   0   0  -1  -1  3470
   1  3471   0   0  -1  -1  3471
   0  3472  32   8   0   4   217
   0  3473 160  88  72  -1  3473
   2  3474  40  20   0   2   386
   0  3475  36  20  16  -1   139
   1  3476   0   0  -1  -1   869
   1  3477   0   0  -1  -1  3477
   1  3478   0   0  -1  -1  3478
   1  3479   0   0  -1  -1    71
   1  3480   0   0  -1  -1   870
   0  3481   2   2   0   1     1
   0  3482  92  52  40  -1  3482
   0  3483  12  12   0   1    43
   1  3484   0   0  -1  -1   871
   1  3485   0   0  -1  -1  3485
   1  3486   0   0  -1  -1  3486
   1  3487   0   0  -1  -1  3487
   0  3488  20   4   0   5   218
   0  3489 272 140 132  -1  3489
   0  3490  40  24  16  -1  3490
   0  3491 276 124  28  -1  3491
   0  3492  16   4   0   4    97
   1  3493   0   0  -1  -1  3493
   1  3494   0   0  -1  -1  3494
   1  3495   0   0  -1  -1  3495
   0  3496  40  16   8  -1   874
   0  3497 128  72  56  -1  3497
   0  3498  80  56  24  -1  3498
   0  3499 132  68  64  -1  3499
   0  3500  24   8   0   3    35
   1  3501   0   0  -1  -1   389
   1  3502   0   0  -1  -1  3502
   1  3503   0   0  -1  -1  3503
   2  3504  48  24   0   2   219
   0  3505 128  56  16  -1  3505
   0  3506 208 108 100  -1  3506
   0  3507  96  32   0   3  3507
   1  3508   0   0  -1  -1   877
   1  3509   0   0  -1  -1    29
   1  3510   0   0  -1  -1   390
   1  3511   0   0  -1  -1  3511
   1  3512   0   0  -1  -1   878
   0  3513 144  92  52  -1  3513
   0  3514  72  32   8  -1  3514
   0  3515 240 128 112  -1  3515
   1  3516   0   0  -1  -1   879
   1  3517   0   0  -1  -1  3517
   1  3518   0   0  -1  -1  3518
   1  3519   0   0  -1  -1   391
   1  3520   0   0  -1  -1    55
   0  3521 224 104  16  -1  3521
   0  3522  64  20   4  -1  3522
   0  3523  72  56  16  -1  3523
   0  3524 160  88  72  -1   881
   1  3525   0   0  -1  -1   141
   1  3526   0   0  -1  -1  3526
   1  3527   0   0  -1  -1  3527
   0  3528   2   2   0   1     2
   0  3529 112  52   8  -1  3529
   0  3530 104  56  48  -1  3530
   0  3531 192  88  16  -1  3531
   0  3532  36  12   0   3   883
   1  3533   0   0  -1  -1  3533
   1  3534   0   0  -1  -1  3534
   1  3535   0   0  -1  -1  3535
   1  3536   0   0  -1  -1   221
   0  3537  48  20   8  -1   393
   0  3538  56  32  24  -1  3538
   0  3539 276 140 136  -1  3539
   1  3540   0   0  -1  -1   885
   1  3541   0   0  -1  -1  3541
   1  3542   0   0  -1  -1  3542
   1  3543   0   0  -1  -1  3543
   1  3544   0   0  -1  -1   886
   0  3545 288 128  32  -1  3545
   0  3546  20   4   0   5   394
   0  3547 108  52   4  -1  3547
   1  3548   0   0  -1  -1   887
   1  3549   0   0  -1  -1    21
   1  3550   0   0  -1  -1   142
   1  3551   0   0  -1  -1  3551
   1  3552   0   0  -1  -1   222
   0  3553  96  56  40  -1  3553
   2  3554 144  72   0   2  3554
   2  3555  96  48   0   2   395
   2  3556  64  32   0   2   889
   1  3557   0   0  -1  -1  3557
   1  3558   0   0  -1  -1  3558
   1  3559   0   0  -1  -1  3559
   2  3560  48  24   0   2   890
   0  3561 304 164 140  -1  3561
   0  3562  56  40  16  -1  3562
   0  3563 264 136 128  -1  3563
   0  3564  12   4   0   3    11
   1  3565   0   0  -1  -1  3565
   1  3566   0   0  -1  -1  3566
   1  3567   0   0  -1  -1  3567
   1  3568   0   0  -1  -1   223
   0  3569 272 124  24  -1  3569
   2  3570  64  32   0   2  3570
   0  3571 180 100  80  -1  3571
   1  3572   0   0  -1  -1   893
   1  3573   0   0  -1  -1   397
   1  3574   0   0  -1  -1  3574
   1  3575   0   0  -1  -1   143
   1  3576   0   0  -1  -1   894
   0  3577  16  12   4  -1    73
   0  3578  76  36   4  -1  3578
   0  3579 168  80   8  -1  3579
   1  3580   0   0  -1  -1   895
   1  3581   0   0  -1  -1  3581
   1  3582   0   0  -1  -1   398
   1  3583   0   0  -1  -1  3583
   1  3584   0   0  -1  -1    14
   0  3585 192  80  32  -1  3585
   0  3586  64  36  28  -1  3586
   0  3587 264 144 120  -1  3587
   0  3588  64  16   0   4   897
   1  3589   0   0  -1  -1  3589
   1  3590   0   0  -1  -1  3590
   1  3591   0   0  -1  -1   399
   0  3592  24   4   0   6   898
   2  3593 160  80   0   2  3593
   2  3594 112  56   0   2  3594
   2  3595  96  48   0   2  3595
   0  3596 168  88  80  -1   899
   1  3597   0   0  -1  -1  3597
   1  3598   0   0  -1  -1  3598
   1  3599   0   0  -1  -1  3599
   0  3600   2   2   0   1     1
   2  3601 160  80   0   2  3601
   0  3602  96  52  44  -1  3602
   2  3603 192  96   0   2  3603
   1  3604   0   0  -1  -1   901
   1  3605   0   0  -1  -1  3605
   1  3606   0   0  -1  -1  3606
   1  3607   0   0  -1  -1  3607
   1  3608   0   0  -1  -1   902
   0  3609  80  36   8  -1   401
   0  3610   4   4   0   1    10
   0  3611 312 168 144  -1  3611
   1  3612   0   0  -1  -1   903
   1  3613   0   0  -1  -1  3613
   1  3614   0   0  -1  -1  3614
   1  3615   0   0  -1  -1  3615
   2  3616  16   8   0   2   226
   0  3617 240 108  24  -1  3617
   0  3618  32  20  12  -1   402
   0  3619 144  64  16  -1  3619
   2  3620  96  48   0   2   905
   1  3621   0   0  -1  -1  3621
   1  3622   0   0  -1  -1  3622
   1  3623   0   0  -1  -1  3623
   0  3624  56  32  24  -1   906
   2  3625  32  16   0   2   145
   0  3626  20  12   8  -1    74
   0  3627  24   8   0   3   403
   0  3628  36  36   0   1   907
   1  3629   0   0  -1  -1  3629
   1  3630   0   0  -1  -1    30
   1  3631   0   0  -1  -1  3631
   0  3632  60  28   4  -1   227
   0  3633  96  56  40  -1  3633
   2  3634  48  24   0   2  3634
   0  3635 120  56   8  -1  3635
   1  3636   0   0  -1  -1   101
   1  3637   0   0  -1  -1  3637
   1  3638   0   0  -1  -1  3638
   1  3639   0   0  -1  -1  3639
   1  3640   0   0  -1  -1   910
   0  3641 304 148   8  -1  3641
   0  3642  56  24   8  -1  3642
   0  3643 108  36   0   3  3643
   1  3644   0   0  -1  -1   911
   1  3645   0   0  -1  -1     5
   1  3646   0   0  -1  -1  3646
   1  3647   0   0  -1  -1  3647
   0  3648  16  12   4  -1    57
   0  3649 160  72  16  -1  3649
   0  3650  32  12   8  -1   146
   0  3651 216 120  96  -1  3651
   0  3652  48  36  12  -1   913
   1  3653   0   0  -1  -1  3653
   1  3654   0   0  -1  -1   406
   1  3655   0   0  -1  -1  3655
   0  3656  72  40  32  -1   914
   0  3657 160  56  48  -1  3657
   0  3658  48  16   0   3  3658
   0  3659 348 180 168  -1  3659
   2  3660  96  48   0   2   915
   1  3661   0   0  -1  -1  3661
   1  3662   0   0  -1  -1  3662
   1  3663   0   0  -1  -1   407
   1  3664   0   0  -1  -1   229
   0  3665 192 104  88  -1  3665
   0  3666  96  40  16  -1  3666
   0  3667 120  48  24  -1  3667
   1  3668   0   0  -1  -1   917
   1  3669   0   0  -1  -1  3669
   1  3670   0   0  -1  -1  3670
   1  3671   0   0  -1  -1  3671
   1  3672   0   0  -1  -1   102
   0  3673 112  52   8  -1  3673
   2  3674 176  88   0   2  3674
   0  3675   4   4   0   1     3
   1  3676   0   0  -1  -1   919
   1  3677   0   0  -1  -1  3677
   1  3678   0   0  -1  -1  3678
   1  3679   0   0  -1  -1  3679
   1  3680   0   0  -1  -1   230
   0  3681  64  24  16  -1   409
   0  3682  64  24  16  -1  3682
   0  3683 120  40   0   3  3683
   0  3684  80  44  36  -1   921
   1  3685   0   0  -1  -1  3685
   1  3686   0   0  -1  -1  3686
   1  3687   0   0  -1  -1  3687
   0  3688  36  20  16  -1   922
   0  3689 320 144  32  -1  3689
   2  3690  32  16   0   2   410
   0  3691 156  92  64  -1  3691
   0  3692 120  72  48  -1   923
   1  3693   0   0  -1  -1  3693
   1  3694   0   0  -1  -1  3694
   1  3695   0   0  -1  -1  3695
   1  3696   0   0  -1  -1   231
   0  3697  80  52  28  -1  3697
   0  3698   2   2   0   1     2
   0  3699  72  40  32  -1   411
   1  3700   0   0  -1  -1    37
   1  3701   0   0  -1  -1  3701
   1  3702   0   0  -1  -1  3702
   1  3703   0   0  -1  -1     7
   1  3704   0   0  -1  -1   926
   2  3705 128  64   0   2  3705
   0  3706 104  48   8  -1  3706
   0  3707 168  88  80  -1  3707
   1  3708   0   0  -1  -1   103
   1  3709   0   0  -1  -1  3709
   1  3710   0   0  -1  -1  3710
   1  3711   0   0  -1  -1  3711
   0  3712   4   4   0   1    58
   2  3713 256 128   0   2  3713
   0  3714  96  52  44  -1  3714
   0  3715 168  72  24  -1  3715
   0  3716 144  68   8  -1   929
   1  3717   0   0  -1  -1   413
   1  3718   0   0  -1  -1    22
   1  3719   0   0  -1  -1  3719
   0  3720  48  16   0   3   930
   0  3721   2   2   0   1     1
   0  3722 108  44  20  -1  3722
   0  3723 144  64  16  -1  3723
   0  3724  12   4   0   3    19
   1  3725   0   0  -1  -1   149
   1  3726   0   0  -1  -1    46
   1  3727   0   0  -1  -1  3727
   0  3728  48  20   8  -1   233
   0  3729 160  88  72  -1  3729
   0  3730  56  16   8  -1  3730
   0  3731 336 176 160  -1  3731
   1  3732   0   0  -1  -1   933
   1  3733   0   0  -1  -1  3733
   1  3734   0   0  -1  -1  3734
   1  3735   0   0  -1  -1   415
   1  3736   0   0  -1  -1   934
   0  3737 256 136 120  -1  3737
   0  3738  48  16   0   3  3738
   0  3739 132  52  28  -1  3739
   1  3740   0   0  -1  -1   935
   1  3741   0   0  -1  -1  3741
   1  3742   0   0  -1  -1  3742
   1  3743   0   0  -1  -1  3743
   0  3744  12   4   0   3    26
   0  3745  96  40  16  -1  3745
   2  3746 152  76   0   2  3746
   0  3747 144  48   0   3  3747
   0  3748  80  44  36  -1   937
   1  3749   0   0  -1  -1  3749
   1  3750   0   0  -1  -1     6
   1  3751   0   0  -1  -1    31
   0  3752  32   8   0   4   938
   0  3753  48  36  12  -1   417
   0  3754  68  44  24  -1  3754
   0  3755 240 112  16  -1  3755
   0  3756  96  32   0   3   939
   1  3757   0   0  -1  -1    13
   1  3758   0   0  -1  -1  3758
   1  3759   0   0  -1  -1  3759
   0  3760  24   8   0   3   235
   2  3761 320 160   0   2  3761
   0  3762  16   4   0   4   418
   0  3763  72  40  32  -1  3763
   1  3764   0   0  -1  -1   941
   1  3765   0   0  -1  -1  3765
   1  3766   0   0  -1  -1  3766
   1  3767   0   0  -1  -1  3767
   1  3768   0   0  -1  -1   942
   0  3769 192  88  16  -1  3769
   0  3770 144  64  16  -1  3770
   0  3771 108  52   4  -1   419
   1  3772   0   0  -1  -1   943
   1  3773   0   0  -1  -1    77
   1  3774   0   0  -1  -1  3774
   1  3775   0   0  -1  -1   151
   0  3776  36  20  16  -1    59
   0  3777 112  52   8  -1  3777
   2  3778  48  24   0   2  3778
   0  3779 372 188 184  -1  3779
   0  3780  32   8   0   4   105
   1  3781   0   0  -1  -1  3781
   1  3782   0   0  -1  -1  3782
   1  3783   0   0  -1  -1  3783
   0  3784  32  20  12  -1   946
   0  3785 192 104  88  -1  3785
   0  3786 136  64   8  -1  3786
   0  3787  96  32   0   3  3787
   0  3788  60  20   0   3   947
   1  3789   0   0  -1  -1   421
   1  3790   0   0  -1  -1  3790
   1  3791   0   0  -1  -1  3791
   1  3792   0   0  -1  -1   237
   0  3793 144  84  60  -1  3793
   2  3794 160  80   0   2  3794
   0  3795 192  80  32  -1  3795
   1  3796   0   0  -1  -1   949
   1  3797   0   0  -1  -1  3797
   1  3798   0   0  -1  -1   422
   1  3799   0   0  -1  -1  3799
   1  3800   0   0  -1  -1    38
   0  3801 160  72  16  -1  3801
   0  3802  44  28  16  -1  3802
   0  3803 180  92  88  -1  3803
   1  3804   0   0  -1  -1   951
   1  3805   0   0  -1  -1  3805
   1  3806   0   0  -1  -1  3806
   1  3807   0   0  -1  -1    47
   1  3808   0   0  -1  -1   238
   0  3809 256 136 120  -1  3809
   0  3810  80  56  24  -1  3810
   0  3811 120  56   8  -1  3811
   0  3812 128  72  56  -1   953
   1  3813   0   0  -1  -1  3813
   1  3814   0   0  -1  -1  3814
   1  3815   0   0  -1  -1  3815
   0  3816  12   4   0   3   106
   0  3817  80  28  24  -1  3817
   0  3818 120  48  24  -1  3818
   0  3819 192 104  88  -1  3819
   0  3820  48  16   0   3   955
